     Antarctic_slope            Shelf_press             SO_press_down_mod
   4.0681986386960009e-02   4.0245027876201635e+02   4.0224184299684629e+02
   4.0424277920051259e-02   4.0447461560249639e+02   4.0426513043139914e+02
   4.0166569453142509e-02   4.0649897213534649e+02   4.0628843753849122e+02
   3.9908860986233766e-02   4.0852334835990990e+02   4.0831176431746655e+02
   3.9651152519325009e-02   4.1054774427552985e+02   4.1033511076766939e+02
   3.9393444052416265e-02   4.1257215988154962e+02   4.1235847688844405e+02
   3.9135735585507515e-02   4.1459659517731222e+02   4.1438186267913454e+02
   3.8878027118598765e-02   4.1662105016216083e+02   4.1640526813908525e+02
   3.8620318651690022e-02   4.1864552483543855e+02   4.1842869326764014e+02
   3.8362610184781272e-02   4.2067001919648862e+02   4.2045213806414347e+02
   3.8104901717872522e-02   4.2269453324465394e+02   4.2247560252793937e+02
   3.7847193250963772e-02   4.2471906697927750e+02   4.2449908665837199e+02
   3.7589484784055022e-02   4.2674362039970259e+02   4.2652259045478507e+02
   3.7331776317146279e-02   4.2876819350527217e+02   4.2854611391652310e+02
   3.7074067850237521e-02   4.3079278629532922e+02   4.3056965704292986e+02
   3.6816359383328778e-02   4.3281739876921677e+02   4.3259321983334945e+02
   3.6558650916420028e-02   4.3484203092627763e+02   4.3461680228712584e+02
   3.6300942449511278e-02   4.3686668276585482e+02   4.3664040440360310e+02
   3.6043233982602528e-02   4.3889135428729122e+02   4.3866402618212504e+02
   3.5785525515693785e-02   4.4091604548993001e+02   4.4068766762203575e+02
   3.5527817048785035e-02   4.4294075637311369e+02   4.4271132872267907e+02
   3.5270108581876285e-02   4.4496548693618536e+02   4.4473500948339887e+02
   3.5012400114967535e-02   4.4699023717848786e+02   4.4675870990353911e+02
   3.4754691648058791e-02   4.4901500709936397e+02   4.4878242998244360e+02
   3.4496983181150034e-02   4.5103979669815641e+02   4.5080616971945619e+02
   3.4239274714241291e-02   4.5306460597420812e+02   4.5282992911392068e+02
